Date	Product	Category	Price	Quantity Sold	Total Sales
2025-12-03	Mobile	Electronics	22000	7	154000
2025-05-14	Water Bottle	Home	500	6	3000
2025-05-03	Keyboard	Accessories	1200	6	7200
2025-03-09	Mouse	Accessories	700	7	4900
2025-06-11	Mouse	Accessories	700	8	5600
2025-08-23	Mobile	Electronics	22000	1	22000
2025-02-07	Water Bottle	Home	500	2	1000
2025-09-17	Watch	Fashion	1800	4	7200
2025-06-28	Mouse	Accessories	700	3	2100
2025-07-09	Mobile	Electronics	22000	4	88000
2025-08-13	Mouse	Accessories	700	3	2100
2025-11-10	Watch	Fashion	1800	5	9000
2025-12-08	Watch	Fashion	1800	1	1800
2025-12-06	Watch	Fashion	1800	5	9000
2025-05-16	Mobile	Electronics	22000	3	66000
2025-10-11	Mobile	Electronics	22000	2	44000
2025-05-25	Headphones	Electronics	1800	5	9000
2025-06-25	Water Bottle	Home	500	4	2000
2025-09-16	Keyboard	Accessories	1200	5	6000
2025-01-27	T-Shirt	Fashion	800	5	4000
2025-05-22	Mobile	Electronics	22000	7	154000
2025-06-20	Laptop	Electronics	55000	1	55000
2025-03-24	Headphones	Electronics	1800	5	9000
2025-10-15	T-Shirt	Fashion	800	7	5600
2025-02-08	Laptop	Electronics	55000	2	110000
2025-07-09	Headphones	Electronics	1800	1	1800
2025-08-09	Water Bottle	Home	500	3	1500
2025-06-07	Headphones	Electronics	1800	1	1800
2025-07-03	Backpack	Bags	1500	1	1500
2025-12-08	Keyboard	Accessories	1200	4	4800
2025-10-14	Mobile	Electronics	22000	6	132000
2025-05-02	Shoes	Fashion	2500	3	7500
2025-07-31	Headphones	Electronics	1800	3	5400
2025-06-20	Laptop	Electronics	55000	3	165000
2025-05-17	Shoes	Fashion	2500	4	10000
2025-07-15	Headphones	Electronics	1800	2	3600
2025-04-24	Laptop	Electronics	55000	8	440000
2025-06-29	Keyboard	Accessories	1200	8	9600
2025-04-25	Mouse	Accessories	700	4	2800
2025-07-24	Laptop	Electronics	55000	4	220000
2025-02-05	Backpack	Bags	1500	5	7500
2025-11-25	Mouse	Accessories	700	6	4200
2025-12-14	Watch	Fashion	1800	7	12600
2025-01-15	Watch	Fashion	1800	6	10800
2025-04-02	Mobile	Electronics	22000	5	110000
2025-01-20	Water Bottle	Home	500	5	2500
2025-06-26	Mobile	Electronics	22000	7	154000
2025-11-07	Backpack	Bags	1500	7	10500
2025-07-17	Watch	Fashion	1800	2	3600
2025-05-11	Water Bottle	Home	500	4	2000
2025-01-01	Laptop	Electronics	55000	7	385000
2025-07-06	Watch	Fashion	1800	4	7200
2025-12-07	Shoes	Fashion	2500	2	5000
